Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
220,C,9,6,TRUE,§10
221,P,10,1,FALSE,
222,L,10,1,FALSE,
223,L,10,1,FALSE,
224,L,10,1,FALSE,
225,L,10,1,FALSE,
226,L,10,1,FALSE,
227,L,10,1,FALSE,
228,L,10,1,FALSE,
229,L,10,1,FALSE,
230,L,10,1,FALSE,
231,L,10,1,FALSE,
232,L,10,1,FALSE,
233,L,10,2,FALSE,
234,L,10,2,FALSE,
235,L,10,3,FALSE,
236,L,10,3,FALSE,
237,L,10,3,FALSE,
238,L,10,4,FALSE,
239,L,10,5,FALSE,
240,L,10,6,FALSE,
241,L,10,6,FALSE,
242,L,10,7,FALSE,
243,L,10,8,FALSE,
244,L,10,8,FALSE,
245,L,10,9,FALSE,
246,L,10,9,FALSE,
247,L,10,9,FALSE,
248,L,10,A,FALSE,
249,L,10,A,FALSE,
250,L,10,A,FALSE,
251,L,10,A,FALSE,
252,L,10,A,FALSE,
253,L,10,A,FALSE,
254,L,10,B,FALSE,
255,C,10,C,TRUE,§11;MLST;PROJ
256,B,11,1,FALSE,
257,L,11,1,FALSE,
258,L,11,1,FALSE,
259,L,11,1,FALSE,
260,L,11,1,FALSE,
261,L,11,1,FALSE,
262,L,11,1,FALSE,
263,L,11,2,FALSE,
264,L,11,3,FALSE,
265,L,11,4,FALSE,
266,L,11,4,FALSE,
267,L,11,4,FALSE,
268,L,11,4,FALSE,
269,L,11,4,FALSE,
270,L,11,5,FALSE,
271,L,11,5,FALSE,
272,L,11,6,FALSE,
273,L,11,6,FALSE,
274,L,11,6,FALSE,
275,L,11,7,FALSE,
276,L,11,7,FALSE,
277,L,11,7,FALSE,
278,L,11,7,FALSE,
279,L,11,7,FALSE,
280,L,11,8,FALSE,
281,L,11,8,FALSE,
282,L,11,8,FALSE,
283,L,11,8,FALSE,
284,L,11,8,FALSE,
285,L,11,8,FALSE,
286,L,11,8,FALSE,
287,L,11,8,FALSE,
288,L,11,9,FALSE,
289,L,11,9,FALSE,
290,L,11,9,FALSE,
291,C,11,A,TRUE,§12;MLST;PROJ
292,B,12,1,FALSE,
293,V,12,1,FALSE,
294,V,12,1,FALSE,
295,V,12,1,FALSE,
296,V,12,1,FALSE,
297,V,12,1,FALSE,
298,L,12,2,FALSE,
299,L,12,2,FALSE,
300,L,12,2,FALSE,
301,L,12,2,FALSE,
302,L,12,2,FALSE,
303,L,12,3,FALSE,
304,L,12,3,FALSE,
305,L,12,3,FALSE,
306,L,12,3,FALSE,
307,L,12,4,FALSE,
308,L,12,4,FALSE,
309,L,12,4,FALSE,
310,L,12,4,FALSE,
311,L,12,4,FALSE,
312,L,12,5,FALSE,
313,L,12,5,FALSE,
314,L,12,5,FALSE,
315,L,12,5,FALSE,
316,L,12,5,FALSE,
317,L,12,6,FALSE,
318,L,12,6,FALSE,
319,L,12,7,FALSE,
320,L,12,7,FALSE,
321,L,12,7,FALSE,
322,L,12,7,FALSE,
323,L,12,8,FALSE,
324,L,12,8,FALSE,
325,L,12,9,FALSE,
326,L,12,9,FALSE,
327,L,12,0,FALSE,
328,L,12,0,FALSE,
329,L,12,0,FALSE,
330,L,12,0,FALSE,
331,L,12,A,FALSE,
332,L,12,B,FALSE,
333,L,12,B,FALSE,
334,L,12,B,FALSE,
335,L,12,B,FALSE,
336,L,12,B,FALSE,
337,L,12,B,FALSE,
338,L,12,B,FALSE,
339,L,12,B,FALSE,
340,L,12,C,FALSE,
341,L,12,C,FALSE,
342,L,12,C,FALSE,
343,L,12,C,FALSE,
344,L,12,C,FALSE,
345,L,12,C,FALSE,
346,L,12,C,TRUE,<OPT
347,L,12,D,FALSE,
348,L,12,D,FALSE,
349,L,12,D,FALSE,
350,L,12,D,FALSE,
351,L,12,D,FALSE,
352,L,12,E,FALSE,
353,L,12,E,FALSE,
354,L,12,E,FALSE,
355,C,12,F,TRUE,§13;EXAM;TALK
356,P,13,1,FALSE,
