Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
254,,10,,True,§11;MILE;STO;NE;_;PROJ;No.2;6h;42m
255,,11,,,
256,,11,,,
257,,11,,,
258,,11,,,
259,,11,,,
260,,11,,,
261,,11,,,
262,,11,,,
263,,11,,,
264,,11,,,
265,,11,,,
266,,11,,,
267,,11,,,
268,,11,,,
269,,11,,,
270,,11,,,
271,,11,,,
272,,11,,,
273,,11,,,
274,,11,,,
275,,11,,,
276,,11,,,
277,,11,,,
278,,11,,,
279,,11,,,
280,,11,,,
281,,11,,,
282,,11,,,
283,,11,,,
284,,11,,,
285,,11,,,
286,,11,,,
287,,11,,,
288,,11,,True,§12;TIME;_;SER;_;&;_;MILE;STO;NE;_;PROJ;_;No.3;11h;37m
289,,12,,,
290,,12,,,
291,,12,,,
292,,12,,,
293,,12,,,
294,,12,,,
295,,12,,,
296,,12,,,
297,,12,,,
298,,12,,,
299,,12,,,
300,,12,,,
301,,12,,,
302,,12,,,
303,,12,,,
304,,12,,,
305,,12,,,
306,,12,,,
307,,12,,,
308,,12,,,
309,,12,,,
310,,12,,,
311,,12,,,
312,,12,,,
313,,12,,,
314,,12,,,
315,,12,,,
316,,12,,,
317,,12,,,
318,,12,,,
319,,12,,,
320,,12,,,
321,,12,,,
322,,12,,,
323,,12,,,
324,,12,,,
325,,12,,,
326,,12,,,
327,,12,,,
328,,12,,,
329,,12,,,
330,,12,,,
331,,12,,,
332,,12,,,
333,,12,,,
334,,12,,,
335,,12,,,
336,,12,,,
337,,12,,,
338,,12,,,
339,,12,,,
340,,12,,,
341,,12,,,
342,,12,,,
343,,12,,,
344,,12,,,
345,,12,,,
346,,12,,,
347,,12,,,
348,,12,,,
349,,12,,,
350,,12,,,
351,,12,,,
352,,12,,,
353,,12,,,
354,,12,,True,§13;0h;36m
355,,13,,,
356,,13,,,
357,,13,,,
358,,13,,,
359,,13,,,
360,,13,,True,
361,Z,14,,,
362,Z,14,,,
363,Z,14,,True,"Q1,Cod;Ex.1;§15;(Apn;dx-;ML;Prim;er);0h;40m"
364,,15,,,
365,,15,,,
366,,15,,,
367,,15,,True,<R
368,,15,,,
369,,15,,True,<R
370,,15,,,
371,,15,,,
372,,15,,,
373,,15,,True,§16;(Apn;dx-ML;DS;Frm;wrk);1h;8m
374,,16,,,
375,,16,,,
376,,16,,,
377,,16,,True,<R
378,,16,,,
379,,16,,,
380,,16,,,
381,,16,,,
382,,16,,,
383,,16,,,
384,,16,,,
385,,16,,,
386,,16,,,
387,,16,,,
388,,16,,,
389,,16,,True,§17;(Apn;dx-;Pan;das);1h;38m
390,,17,,,
391,,17,,,
392,,17,,,
393,,17,,True,<R
394,,17,,True,<R
395,,17,,,
396,,17,,,
397,,17,,True,<R
398,,17,,,
399,,17,,True,<R
400,,17,,True,<R
401,,17,,True,<R
402,,17,,,
403,,17,,True,<R;§18;(Apn;dx-;Num;Py);0h;40m
404,,18,,,
405,,18,,,
406,,18,,True,<R
407,,18,,True,
408,,18,,,
409,,18,,,
410,,18,,,
411,,18,,,
412,,18,,True,<R
413,,18,,True,<R
414,,18,,True,<R
415,,18,,,
416,,18,,True,<R
417,,18,,,
418,,18,,,
419,,18,,,
420,,18,,True,<R
421,,18,,,
422,,18,,,
423,,19,,True,THE;END
