Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
378,L,16,2,TRUE,<R;§_.3
379,L,16,3,,
380,L,16,3,,
381,L,16,3,TRUE,§_.4
382,L,16,4,TRUE,§_.5
383,L,16,5,,
384,L,16,5,,
385,L,16,5,,
386,L,16,5,TRUE,§_.6
387,L,16,6,TRUE,§_.7
388,L,16,7,TRUE,§_.8
389,L,16,8,TRUE,§_.9
390,P,16,9,TRUE,<OPT; -- ;§17.;APDX;PAND;AS  ;DATA;ANYL
391,P,17,1,,
392,V,17,1,,
393,P,17,1,,
394,L,17,1,TRUE,<R;§_.2
395,L,17,2,TRUE,<R
396,L,17,2,TRUE,§_.3
397,L,17,3,TRUE,§_.4
398,L,17,4,TRUE,<R
399,L,17,4,TRUE,§_.5
400,L,17,5,TRUE,<R
401,L,17,5,TRUE,<R
402,L,17,5,TRUE,<R;§_.6
403,E,17,6,TRUE,§_.7
404,L,17,7,TRUE,<R; -- ;§18.;APDX; Num;Py  
405,P,18,1,,
406,V,18,1,,
407,L,18,1,TRUE,<R;§_.2
408,P,18,2,,
409,L,18,2,,
410,L,18,2,,
411,L,18,2,,
412,L,18,2,TRUE,§_.3
413,L,18,3,TRUE,<R
414,L,18,3,TRUE,<R;§_.4
415,L,18,4,TRUE,<R;§_.5
416,L,18,5,,
417,L,18,5,TRUE,<R
418,E,18,5,TRUE,§_.6
419,L,18,6,,
420,L,18,6,TRUE,§_.7
421,L,18,7,TRUE,<R;§_.8
422,E,18,8,TRUE,§_.9
423,P,18,9,TRUE,<OPT; -- ;§19.;  BO;NUS 
424,P,19,1,TRUE, THE;END 
