Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
291,,11,1,TRUE,§12;MLST;PROJ
292,,12,1,,
293,,12,1,,
294,,12,1,,
295,,12,1,,
296,,12,1,,
297,,12,1,,
298,,12,1,,
299,,12,1,,
300,,12,1,,
301,,12,1,,
302,,12,1,,
303,,12,1,,
304,,12,1,,
305,,12,1,,
306,,12,1,,
307,,12,1,,
308,,12,1,,
309,,12,1,,
310,,12,1,,
311,,12,1,,
312,,12,1,,
313,,12,1,,
314,,12,1,,
315,,12,1,,
316,,12,1,,
317,,12,1,,
318,,12,1,,
319,,12,1,,
320,,12,1,,
321,,12,1,,
322,,12,1,,
323,,12,1,,
324,,12,1,,
325,,12,1,,
326,,12,1,,
327,,12,1,,
328,,12,1,,
329,,12,1,,
330,,12,1,,
331,,12,1,,
332,,12,1,,
333,,12,1,,
334,,12,1,,
335,,12,1,,
336,,12,1,,
337,,12,1,,
338,,12,1,,
339,,12,1,,
340,,12,1,,
341,,12,1,,
342,,12,1,,
343,,12,1,,
344,,12,1,,
345,,12,1,,
346,,12,1,TRUE,<OPT
347,,12,1,,
348,,12,1,,
349,,12,1,,
350,,12,1,,
351,,12,1,,
352,,12,1,,
353,,12,1,,
354,,12,1,,
355,,12,1,TRUE,§13;EXAM;TALK
356,,13,1,,
357,,13,1,,
358,,13,1,,
359,,13,1,,
360,,13,1,,
361,,13,1,TRUE,§14;EXAM;DONE
362,,14,1,,
363,,14,1,,
364,,14,1,TRUE,Q1;CODE;EXCZ;NO.1;FINL;CHLG;§15;APDX;ML;PRMR
365,,15,1,,
366,,15,1,,
367,,15,1,,
368,,15,1,TRUE,<R
369,,15,1,,
370,,15,1,TRUE,<R
371,,15,1,,
372,,15,1,,
373,,15,1,,
374,,15,1,TRUE,§16;APDX;ML;DATA;FRME;WORK
375,,16,1,,
376,,16,1,,
377,,16,1,,
378,,16,1,TRUE,<R
379,,16,1,,
380,,16,1,,
381,,16,1,,
382,,16,1,,
383,,16,1,,
384,,16,1,,
385,,16,1,,
386,,16,1,,
387,,16,1,,
388,,16,1,,
389,,16,1,,
390,,16,1,TRUE,<OPT;§17;APDX;PAND;AS;DATA;ANYL
391,,17,1,,
392,,17,1,,
393,,17,1,,
394,,17,1,TRUE,<R
395,,17,1,TRUE,<R
396,,17,1,,
397,,17,1,,
398,,17,1,TRUE,<R
399,,17,1,,
400,,17,1,TRUE,<R
401,,17,1,TRUE,<R
402,,17,1,TRUE,<R
403,,17,1,,
404,,17,1,TRUE,<R;§18;APDX;Num;Py
405,,18,1,,
406,,18,1,,
407,,18,1,TRUE,<R
408,,18,1,,
409,,18,1,,
410,,18,1,,
411,,18,1,,
412,,18,1,,
413,,18,1,TRUE,<R
414,,18,1,TRUE,<R
415,,18,1,TRUE,<R
416,,18,1,,
417,,18,1,TRUE,<R
418,,18,1,,
419,,18,1,,
420,,18,1,,
421,,18,1,TRUE,<R
422,,18,1,,
423,,18,1,TRUE,<OPT;§19;BO;NUS
424,,19,1,TRUE,THE;END
